Titular cont: PERSON_1,,,,,,,
Data,,,Detalii tranzactie,Debit,,Credit,Balanta
31 martie 2026,,,Tranzactie Round Up,"0,50",,,"7.177,15"
,,,Data finalizarii (decontarii): 31-03-2026,,,,
,,,Referinta:40192,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 18.5 RON,,,,
,,,Platita la: STARBUCKS AFI,,,,
31 martie 2026,,,Cumparare POS,"18,50",,,"7.177,65"
,,,Data finalizarii (decontarii): 01-04-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:STARBUCKS AFI  RO  BUCURESTI,,,,
,,,Data autorizarii:31-03-2026,,,,
,,,Numar autorizare:100091,,,,
30 martie 2026,,,Tranzactie Round Up,"0,14",,,"7.196,15"
,,,Data finalizarii (decontarii): 30-03-2026,,,,
,,,Referinta:40190,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 183.86 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
30 martie 2026,,,Cumparare POS,"183,86",,,"7.196,29"
,,,Data finalizarii (decontarii): 31-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:LIDL 1234 BUCURESTI  RO  BUCURESTI,,,,
,,,Data autorizarii:30-03-2026,,,,
,,,Numar autorizare:100090,,,,
29 martie 2026,,,Tranzactie Round Up,"1,00",,,"7.380,15"
,,,Data finalizarii (decontarii): 29-03-2026,,,,
,,,Referinta:40188,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 5 RON,,,,
,,,Platita la: METROREX VALIDATOARE,,,,
29 martie 2026,,,Cumparare POS,"5,00",,,"7.381,15"
,,,Data finalizarii (decontarii): 30-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:METROREX VALIDATOARE  RO  BUCURESTI,,,,
,,,Data autorizarii:29-03-2026,,,,
,,,Numar autorizare:100089,,,,
28 martie 2026,,,Tranzactie Round Up,"0,37",,,"7.386,15"
,,,Data finalizarii (decontarii): 28-03-2026,,,,
,,,Referinta:40186,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 201.63 RON,,,,
,,,Platita la: KAUFLAND 381,,,,
28 martie 2026,,,Cumparare POS,"201,63",,,"7.386,52"
,,,Data finalizarii (decontarii): 29-03-2026,,,,
,,,Numar card:**** 4412,,,,
,,,Tranzactie la:KAUFLAND 381  RO  CLUJ,,,,
,,,Data autorizarii:28-03-2026,,,,
,,,Numar autorizare:100088,,,,
28 martie 2026,,,Tranzactie Round Up,"0,66",,,"7.588,15"
,,,Data finalizarii (decontarii): 28-03-2026,,,,
,,,Referinta:40184,,,,
,,,In contul:RO88ANON5555555555555555,,,,
,,,Detalii:Suma tranzactiei: 62.34 RON,,,,
,,,Platita la: LIDL 1234 BUCURESTI,,,,
,Jane Doe,,,,John Roe,,
,Sef Serviciu Exemplu,,,,Sef Serviciu Exemplu,,
