Extras de cont
Titular:;TITULAR TEST
IBAN:;RO49AAAA1B31007593840000
Perioada:;01.02.2026 - 28.02.2026

Data tranzactie;Data valuta;Descriere;Debit;Credit
01.02.2026;02.02.2026;"PLATA RENT PROPRIETAR LUNA 02";2.500,00;
02.02.2026;03.02.2026;"Platã POS KAUFLAND BUCUREªTI 263 card ****4412 autorizare 832052";356,96;
03.02.2026;04.02.2026;"Platã POS SPOTIFY P948749 STOCKHOLM SE card ****4412";29,99;
04.02.2026;05.02.2026;"Platã POS LIDL 6574 BUCUREªTI card ****4412";65,52;
05.02.2026;06.02.2026;"BOLT.EU/R/263032 TALLINN EE";23,81;
09.02.2026;10.02.2026;"Platã POS KAUFLAND BUCUREªTI 881 card ****4412 autorizare 452944";146,98;
10.02.2026;11.02.2026;"INCASARE SALARIU ACME SRL";;8.500,00
11.02.2026;12.02.2026;"TRANSFER CATRE CONT ECONOMII RO49AAAA1B31007593840000";1.000,00;
11.02.2026;12.02.2026;"Platã POS LIDL 2519 BUCUREªTI card ****4412";82,24;
12.02.2026;13.02.2026;"BOLT.EU/R/201414 TALLINN EE";29,70;
12.02.2026;13.02.2026;"Platã POS STARBUCKS AFI COTROCENI card ****4412";18,50;
12.02.2026;13.02.2026;"Platã POS STARBUCKS AFI COTROCENI card ****4412";18,50;
15.02.2026;16.02.2026;"NETFLIX.COM 1109031 AMSTERDAM NL card ****4412";49,99;
16.02.2026;17.02.2026;"Platã POS KAUFLAND BUCUREªTI 967 card ****4412 autorizare 460663";253,35;
18.02.2026;19.02.2026;"Platã POS LIDL 1711 BUCUREªTI card ****4412";139,55;
19.02.2026;20.02.2026;"BOLT.EU/R/581741 TALLINN EE";36,96;
20.02.2026;21.02.2026;"ENEL ENERGIE FACTURA 914763202";312,02;
22.02.2026;23.02.2026;"ORANGE ROMANIA ABONAMENT";45,00;
23.02.2026;24.02.2026;"Platã POS KAUFLAND BUCUREªTI 227 card ****4412 autorizare 496922";131,64;
25.02.2026;26.02.2026;"Platã POS LIDL 5803 BUCUREªTI card ****4412";155,88;
26.02.2026;27.02.2026;"BOLT.EU/R/759176 TALLINN EE";40,33;
